City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,necochea,-38.5473,-58.7368,13.58,60,100,5.39,AR,1712791674
282,tsiombe,-25.3,45.4833,23.62,88,39,5.12,MG,1712791675
283,kununurra,-15.7667,128.7333,22.99,53,18,3.6,AU,1712791675
284,kruisfontein,-34.0033,24.7314,13.27,73,100,2.97,ZA,1712791675
285,kalmunai,7.4167,81.8167,26.16,84,100,1.39,LK,1712791676
286,ciudad insurgentes,25.2625,-111.7753,28.24,16,28,8.34,MX,1712791676
287,ancud,-41.8697,-73.8203,10.19,72,1,1.77,CL,1712791193
288,soligalich,59.0778,42.2864,9.82,83,99,4.28,RU,1712791677
289,soio,-6.1349,12.3689,27.11,88,83,3.68,AO,1712791677
290,kabansk,52.0486,106.6528,2.6,97,100,1.98,RU,1712791677
291,kasongo-lunda,-6.4667,16.8167,22.13,97,76,0.47,CD,1712791570
292,sittwe,20.15,92.9,26.06,64,0,3.63,MM,1712791678
293,leticia,-4.2153,-69.9406,27.03,94,20,2.06,CO,1712791679
294,tokoname,34.8833,136.85,16.13,67,75,2.06,JP,1712791679
295,fallon,39.4735,-118.7774,21.93,30,75,1.54,US,1712791679
296,yanam,16.7333,82.2167,23.33,95,10,0.29,IN,1712791679
297,nova sintra,14.8667,-24.7167,22.63,77,2,9.36,CV,1712791680
298,takoradi,4.8845,-1.7554,27.92,85,100,2.79,GH,1712791680
299,abepura,-2.6333,140.5833,25.45,94,40,0.51,ID,1712791680
300,barra de santo antonio,-9.4047,-35.5072,26.6,74,94,2.62,BR,1712791681
301,christies beach,-35.1396,138.4698,17.56,75,89,1.34,AU,1712791681
302,nema,57.5067,50.5011,-1.4,95,72,1.69,RU,1712791226
303,dunedin,-45.8742,170.5036,14.33,91,100,2.24,NZ,1712791682
304,garissa,-0.4536,39.6401,28.66,76,86,4.16,KE,1712791682
305,naze,28.3667,129.4833,20.51,65,100,4.03,JP,1712791191
306,ulety,51.3572,112.4849,6.34,77,99,1.27,RU,1712791683
307,lautoka,-17.6167,177.4667,29.92,66,20,5.14,FJ,1712791200
308,howard springs,-12.497,131.047,24.9,64,100,3.13,AU,1712791199
309,ocos,14.5094,-92.1933,33.1,67,95,3.05,GT,1712791683
310,arkhangel'sk,64.5401,40.5433,6.18,100,100,5.0,RU,1712791610
311,touros,-5.1989,-35.4608,26.44,84,100,2.54,BR,1712791029
312,urangan,-25.3,152.9,22.89,65,0,4.47,AU,1712791685
313,alavus,62.5833,23.6167,4.73,91,100,5.92,FI,1712791675
314,yuzhno-kurilsk,44.0306,145.8556,4.65,76,23,2.88,RU,1712791025
315,sao joao da barra,-21.6403,-41.0511,25.05,86,0,3.94,BR,1712791158
316,kuraymah,18.55,31.85,22.67,18,29,5.08,SD,1712791687
317,katsuura,35.1333,140.3,13.79,65,45,3.54,JP,1712791191
318,nizhneangarsk,55.7833,109.55,-2.22,86,100,0.45,RU,1712791688
319,mabaruma,8.2,-59.7833,25.85,78,7,1.87,GY,1712791203
320,idukki,9.85,76.9667,19.46,83,75,1.54,IN,1712791689
321,singleton,-32.5667,151.1833,18.29,74,0,1.14,AU,1712791689
322,peace river,56.2501,-117.286,12.17,20,75,2.06,CA,1712791192
323,williston,48.147,-103.618,11.56,43,100,4.47,US,1712791459
324,tabou,4.423,-7.3528,27.83,79,84,2.96,CI,1712791209
325,villa gesell,-37.2639,-56.973,14.47,53,71,8.21,AR,1712791212
326,calangute,15.5439,73.7553,26.12,72,14,3.05,IN,1712791690
327,miramichi,47.0043,-65.4654,1.53,83,11,3.36,CA,1712791186
328,miki,34.8,134.9833,13.79,67,96,1.69,JP,1712791691
329,sterling,39.0062,-77.4286,24.03,56,75,3.6,US,1712791579
330,kavieng,-2.5744,150.7967,27.34,82,100,4.65,PG,1712791008
331,batang,-6.4846,110.7083,26.37,84,64,1.28,ID,1712791692
332,sumoto,34.35,134.9,14.0,81,100,0.45,JP,1712791692
333,singaparna,-7.3515,108.111,22.82,98,96,0.58,ID,1712791692
334,tamanrasset,22.785,5.5228,23.95,14,11,0.0,DZ,1712791693
335,acajutla,13.5928,-89.8275,29.92,65,100,3.47,SV,1712791693
336,gerash,27.6652,54.1371,23.03,42,100,4.5,IR,1712791693
337,karratha,-20.7377,116.8463,25.01,54,27,5.87,AU,1712791694
338,novoagansk,61.9449,76.6625,-24.94,100,91,1.83,RU,1712791694
339,laguna de perlas,12.3429,-83.6712,29.05,73,80,4.58,NI,1712791694
340,imaichi,36.7167,139.6833,9.41,64,42,1.97,JP,1712791694
341,rabo de peixe,37.8,-25.5833,17.77,99,75,4.63,PT,1712791695
342,champerico,14.3,-91.9167,34.3,63,98,3.38,GT,1712791206
343,brazzaville,-4.2658,15.2832,28.2,78,100,1.03,CG,1712791696
344,franklin,39.9667,-83.0166,17.26,92,100,3.6,US,1712791220
345,church hill,36.5223,-82.7135,22.43,64,100,4.72,US,1712791696
346,tamandare,-8.7597,-35.1047,27.25,78,100,2.13,BR,1712791697
347,tromso,69.6496,18.957,4.01,87,75,1.03,NO,1712791594
348,yeppoon,-23.1333,150.7333,20.88,53,0,2.76,AU,1712791697
349,kudahuvadhoo,2.6708,72.8944,29.38,69,20,3.64,MV,1712791697
350,pokhara,28.2333,83.9833,17.95,17,0,3.5,NP,1712791698
351,verkhniy baskunchak,48.2256,46.7217,16.22,41,8,3.3,RU,1712791698
352,chu,43.5983,73.7614,8.97,65,66,1.09,KZ,1712791698
353,zaozersk,69.4005,32.4476,3.11,95,100,7.51,RU,1712791217
354,dadhar,29.4753,67.6514,29.28,14,1,0.88,PK,1712791699
355,fairbanks,64.8378,-147.7164,7.19,42,20,2.57,US,1712791502
356,sergeyevka,53.88,67.4158,-0.99,93,28,1.9,KZ,1712791699
357,vishnyeva,54.7122,26.5225,7.99,75,92,4.53,BY,1712791699
358,biltine,14.5333,20.9167,27.97,8,30,3.5,TD,1712791575
359,manay,7.215,126.5397,26.19,49,100,1.84,PH,1712791700
360,alghero,40.5589,8.3181,8.05,100,0,1.03,IT,1712791700
361,lospalos,-8.5186,127.0025,23.41,83,49,2.23,TL,1712791700
362,floro,61.5996,5.0328,6.98,70,100,9.77,NO,1712791701
363,porto real do colegio,-10.1858,-36.84,26.12,83,51,2.78,BR,1712791701
364,luanda,-8.8368,13.2343,26.01,83,37,4.43,AO,1712791078
365,yelizovo,53.1873,158.3805,5.08,39,20,12.07,RU,1712791702
